,date,title,links,description
0,21.07.30,[단독] 사장 도장 임의로 찍어 '특공'…경징계 하고 '쉬쉬',"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006412685"",""링크"")",한국예탁결제원의 직원들이 사장 도장을 임의로 찍은 서류를 이용해서 특별공급 아파트를 분양받은 것으로 드러났습니다. 예탁결제원은 무단 발급됐다는 …
1,21.07.29,[단독] '공직 기강 확립' 점검 중에…서울경찰 간부 음주 행패 입건,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006410946"",""링크"")",정부가 공직 기강 확립 특별점검을 시작한 다음 날인 지난 27일 서울경찰청의 한 간부가 술에 취해 행패를 부리다가 현행범 체포됐습니다. SBS …
2,21.07.28,"[단독] 피아니스트 출신 사업가, '사기 혐의' 구속기소","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006409568"",""링크"")","해외에서 활동하며 국제 콩쿠르에서 입상하기도 한 피아니스트가 사기 혐의로 구속돼 재판에 넘겨졌습니다. SBS 취재 결과, 수원지검은 사기 혐의를…"
3,21.07.26,[단독] 청담 웨딩홀서 '미등록 교회' 예배…41명 적발,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006406496"",""링크"")",어제 서울 강남구 청담동의 한 건물에서 대면 예배를 하려던 미등록 교회의 교인 등 41명이 당국에 적발됐습니다. 강남구청은 방역수칙을 위반하고 …
4,21.07.26,[단독] 회사 대표를 흉기로 찌른 20대 직원 붙잡혔다,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006406265"",""링크"")",자신이 일하는 회사 대표에게 흉기를 휘둘러 다치게 한 20대 남성이 경찰에 붙잡혔습니다. 서울 수서경찰서는 지난 22일 저녁 9시쯤 강남구 도곡…
5,21.07.24,"[단독 인터뷰] BTS ""대기록 중압감보다 팬 보답이 더 고민""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006404280"",""링크"")",* BTS 인터뷰 풀영상은 'SBS 뉴스' 유튜브 채널을 통해 보실 수 있습니다. 8주 연속 빌보드 정상을 지킨 데뷔 8주년을 맞은 가수 BTS…
6,21.07.24,"[단독] 옆자리 승객 문자 본 퇴근길 판사, 바로 신고한 이유","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006403868"",""링크"")",퇴근하던 현직 판사가 지하철 옆자리 승객의 수상한 휴대전화 메시지를 엿보고 경찰에 신고해 마약사범 검거를 도왔습니다. SBS 취재에 따르면 서울…
7,21.07.23,[단독] LG-SK 합의했지만…'기밀 유출' 관련자 기소 방침,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006403379"",""링크"")","2년간 이어진 LG와 SK의 전기차 배터리 소송전이 지난 4월 양측 합의로 마무리됐죠. 하지만 경찰은 이와 별개로 수사를 계속해왔는데, 사건에 …"
8,21.07.23,"[단독] LG-SK 합의했지만…경찰 ""기밀 유출 가담자 처벌""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006403446"",""링크"")",전기차 배터리 영업비밀 침해 분쟁을 벌이던 LG에너지솔루션과 SK이노베이션이 올 4월 합의했지만 경찰은 기밀 유출에 가담한 관련자들을 처벌하기로…
9,21.07.23,"[단독] 소방서 CCTV 영상 보니 ""감찰반이 야밤에 몰래 훔쳐 나와""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006403326"",""링크"")","지난 20일 저녁 9시 무렵 전북 전주의 한 소방서 앞. 한 남성이 소방서를 향해 걸어가고, 함께 있던 다른 남성이 뒷짐을 지고 주위를 두리번 …"
